RAJ2000,DEJ2000,_2MASS,Jmag,e_Jmag,Hmag,e_Hmag,Kmag,e_Kmag,Qflg,Rflg,Bflg,Cflg,Xflg,Aflg,tm_designation,gaia_source_id,kepid,nearest_neighbour
285.945643,40.920647,b'19034695+4055143',8.983,0.026,8.748,0.018,8.697,0.015,b'AAA',b'112',b'111',b'000',0,0,2MASS J19034695+4055143,2103789369450805888,5689219,0
285.945643,40.920647,b'19034695+4055143',8.983,0.026,8.748,0.018,8.697,0.015,b'AAA',b'112',b'111',b'000',0,0,2MASS J19034695+4055143,2103789369450008448,5689219,1
285.945643,40.920647,b'19034695+4055143',8.983,0.026,8.748,0.018,8.697,0.015,b'AAA',b'112',b'111',b'000',0,0,2MASS J19034695+4055143,2103789369450805888,5689219,0
296.561873,40.995464,b'19461484+4059436',9.233,0.021,8.848,0.021,8.749,0.012,b'AAA',b'222',b'111',b'000',0,0,2MASS J19461484+4059436,2076805120730177280,5723165,1
285.348227,41.019974,b'19012357+4101119',9.399,0.021,9.172,0.016,9.101,0.017,b'AAA',b'222',b'111',b'000',0,0,2MASS J19012357+4101119,2103826645467792896,5773155,1
285.437702,41.080574,b'19014504+4104500',8.237,0.019,8.063,0.024,7.946,0.017,b'AAA',b'111',b'111',b'000',0,0,2MASS J19014504+4104500,2103850667223592064,5773345,1
299.492727,41.069733,b'19575825+4104110',9.633,0.021,9.151,0.022,9.056,0.017,b'AAA',b'222',b'111',b'000',0,0,2MASS J19575825+4104110,2075139429344768384,5822889,1
296.220326,41.114731,b'19445287+4106530',8.519,0.035,8.137,0.042,8.031,0.021,b'AAA',b'111',b'111',b'000',0,0,2MASS J19445287+4106530,2076817799473471104,5892169,1
288.783666,41.298737,b'19150807+4117554',9.857,0.021,9.568,0.021,9.547,0.019,b'AAA',b'222',b'111',b'000',0,0,2MASS J19150807+4117554,2102214697001410688,5950854,1
290.122259,41.291214,b'19202934+4117283',8.243,0.026,7.941,0.023,7.919,0.024,b'AAA',b'111',b'111',b'000',0,0,2MASS J19202934+4117283,2101417344914702208,5955122,1
290.122259,41.291214,b'19202934+4117283',8.243,0.026,7.941,0.023,7.919,0.024,b'AAA',b'111',b'111',b'000',0,0,2MASS J19202934+4117283,2101417344914701440,5955122,0
