id_starname,teff,teff_err,logg,logg_err,feh,feh_err,parallax,parallax_err,kmag,kmag_err,ra,dec,band,dust,comments
KIC4038445,5018.2207,87.28645999999999,3.6098394398407736,0.00926244985413579,-0.751761,0.050968815,0.00218192107358911,3.089348110191545e-05,9.682,0.016,285.51669653815065,39.11428328468201,kmag,allsky,using APOGEE DR14 m_h and teff
KIC4049576,5847.8667,141.68868999999998,3.9297457473825763,0.05755762677827336,-0.17933336,0.06248189999999999,0.002236214393130909,2.236139873118517e-05,9.993,0.018000000000000002,289.4498097716263,39.186912651602036,kmag,allsky,using APOGEE DR14 m_h and teff
KIC4064447,5165.07,114.25941999999999,3.381815461404241,0.03323771462931571,-0.12356336400000001,0.039207692999999995,0.0012157423711984556,2.5501089231828112e-05,9.71,0.018000000000000002,293.43099672892595,39.15178435155021,kmag,allsky,using APOGEE DR14 m_h and teff
KIC4072740,4868.7754,77.54584,3.3278725607823105,0.007862803152636414,0.21078569,0.028848522999999997,0.003884245372439582,2.4153183290274896e-05,7.535,0.024,295.41806747291224,39.17299444806633,kmag,allsky,using APOGEE DR14 m_h and teff
KIC4165030,5384.305,136.37001,3.972297812853603,0.016335871406978526,-0.38620338,0.050858497999999995,0.002886185550076736,2.217419048010064e-05,9.943,0.018000000000000002,293.3704352611008,39.26274754821213,kmag,allsky,using APOGEE DR14 m_h and teff
KIC4243623,4934.7476,81.85186,3.606853085355869,0.011135505086234912,-0.27526405,0.03881184,0.002879974159301737,2.576420885559036e-05,9.149,0.017,285.50848678159235,39.35136088740829,kmag,allsky,using APOGEE DR14 m_h and teff
KIC4247542,6312.3335,159.03603999999999,4.047636319254004,0.059099282943306186,-0.40931916,0.08298466,0.0023469985692470617,2.1224471998963286e-05,10.264000000000001,0.018000000000000002,287.06838862459057,39.35524847951939,kmag,allsky,using APOGEE DR14 m_h and teff
KIC4346201,5821.338000000001,140.06609,3.9299245947480954,0.020568398596478885,-0.32449338,0.06649288,0.0039291205032288105,9.378442577607279e-05,8.609,0.02,285.2860172897109,39.49827279019023,kmag,allsky,using APOGEE DR14 m_h and teff
KIC4347652,4954.782,81.92105,3.3292957755289154,0.05122564907936513,0.10293718,0.032073744,0.001767942857225425,2.853839660367949e-05,9.17,0.017,285.9073487836037,39.40626202089854,kmag,allsky,using APOGEE DR14 m_h and teff
KIC4351319,4908.248,79.208275,3.4983881073893643,0.007864487008098348,0.30846334,0.02800717,0.0038622168492948978,2.238460893615121e-05,7.909,0.02,287.39870343931386,39.49752934960674,kmag,allsky,using APOGEE DR14 m_h and teff
KIC4378838,4929.959,80.24826999999999,3.5104562821944465,0.013103480964061096,0.31073147,0.028318696,0.002238465924435421,2.650162278754133e-05,8.93,0.017,295.00919840487165,39.46422226170151,kmag,allsky,using APOGEE DR14 m_h and teff
KIC4446300,5243.063,97.80203,3.853066999437927,0.016259241513965704,-0.0041933693,0.040077865,0.004060480389967332,2.7243598374366227e-05,8.838,0.017,285.35843473482487,39.565502910072155,kmag,allsky,using APOGEE DR14 m_h and teff
KIC4450844,5757.8535,128.54033,4.080208140799064,0.009194489612858237,-0.16246301,0.07065006,0.004483143542281449,2.266878593626859e-05,9.033,0.023,287.3148859026392,39.53831763368832,kmag,allsky,using APOGEE DR14 m_h and teff
KIC4457351,5266.6953,100.036446,3.964329840306272,0.017045383451039328,-0.27984336,0.04706973,0.0033188668191208495,3.5356781903282225e-05,9.424,0.016,289.5538465014463,39.56550614915529,kmag,allsky,using APOGEE DR14 m_h and teff
KIC4465324,5677.1255,128.36606,4.183508307819267,0.018193202489730442,0.091694556,0.07808723,0.0034378864532094936,2.8408566679834886e-05,9.902000000000001,0.019,291.8913898051817,39.58118129190865,kmag,allsky,using APOGEE DR14 m_h and teff
KIC4465529,6310.7563,143.11141999999998,4.109848973973104,0.02198880601970183,0.034715846,0.083204284,0.004567936206759274,2.4060255647165655e-05,8.731,0.019,291.94718172829374,39.58432457316167,kmag,allsky,using APOGEE DR14 m_h and teff
KIC4543171,6022.8438,127.216705,4.128347933923036,0.021606158022311396,0.18913656,0.07648510000000001,0.004127223488241538,2.58942606520363e-05,9.062999999999999,0.02,285.2371779543625,39.66641176283297,kmag,allsky,using APOGEE DR14 m_h and teff
KIC4571351,5850.8296,131.82402,4.062111357533508,0.050556053642130325,0.20010391,0.08273272,0.0037312854579630837,2.671045585544836e-05,9.48,0.018000000000000002,294.2964897119716,39.695934257922566,kmag,allsky,using APOGEE DR14 m_h and teff
